,model_s,root_mean_squared_error,mean percentage
0,ridge,20166.540044819838,1.325754389292865
1,lasso,20637.523725753275,1.3567169976974338
2,elasticnet,20585.85348774462,1.3533201807579125
3,randomforest,92834.70039255875,6.102981039414208
4,Xgboost,80072.53879658664,5.263992709481481
