,model_s,root_mean_squared_error,error from mean
0,ridge,0.16473405443397812,22.69371571922463
1,lasso,0.24127718680646487,33.23827550856902
2,elasticnet,0.16536925028827698,22.78122011649706
3,randomforest,0.16480283160155978,22.703190441949296
4,Xgboost,0.16336669609088997,22.505348829142477
