,model_s,root_mean_squared_error,mean percentage
0,ridge,20198.648761785607,1.3278652259736898
1,lasso,20582.879633241086,1.353124678671168
2,elasticnet,20564.647753939313,1.3519261094592128
3,randomforest,92074.72997883949,6.053020356546359
4,Xgboost,80786.192645843,5.310908527513955
